Health: 170.000000, Speed: 0.262807, Firerate: 2.302243
Health: 161.000000, Speed: 0.262807, Firerate: 2.302243
Health: 161.000000, Speed: 0.262807, Firerate: 2.302243
Health: 200.000000, Speed: 0.200000, Firerate: 2.010874
Health: 195.000000, Speed: 0.263356, Firerate: 2.993185
Health: 195.000000, Speed: 0.263356, Firerate: 2.993185
Health: 200.000000, Speed: 0.227877, Firerate: 2.488635
Health: 200.000000, Speed: 0.200000, Firerate: 2.529118
Health: 195.000000, Speed: 0.200000, Firerate: 2.382312
Health: 200.000000, Speed: 0.200000, Firerate: 2.955330
Health: 200.000000, Speed: 0.200000, Firerate: 2.993185
Health: 200.000000, Speed: 0.200000, Firerate: 3.284426
Health: 186.000000, Speed: 0.200000, Firerate: 2.456890
Health: 195.000000, Speed: 0.200000, Firerate: 2.717069
Health: 186.000000, Speed: 0.200000, Firerate: 2.657082
Health: 194.000000, Speed: 0.200000, Firerate: 2.955330
Health: 186.000000, Speed: 0.200000, Firerate: 2.968575
Health: 200.000000, Speed: 0.200000, Firerate: 2.980965
Health: 186.000000, Speed: 0.200000, Firerate: 2.968575
Health: 195.000000, Speed: 0.200000, Firerate: 3.396560
Health: 188.000000, Speed: 0.200000, Firerate: 2.808395
Health: 188.000000, Speed: 0.200000, Firerate: 2.808395
Health: 186.000000, Speed: 0.200000, Firerate: 3.071352
Health: 186.000000, Speed: 0.200000, Firerate: 2.980965
Health: 186.000000, Speed: 0.200000, Firerate: 2.971416
Health: 186.000000, Speed: 0.200000, Firerate: 2.968575
Health: 194.000000, Speed: 0.200000, Firerate: 3.296902
Health: 186.000000, Speed: 0.200000, Firerate: 2.968575
Health: 186.000000, Speed: 0.200000, Firerate: 2.968575
Health: 186.000000, Speed: 0.200000, Firerate: 2.968575
Health: 185.000000, Speed: 0.213974, Firerate: 3.314997
Health: 186.000000, Speed: 0.200000, Firerate: 2.968575
Health: 185.000000, Speed: 0.200000, Firerate: 3.348707
Health: 187.000000, Speed: 0.200000, Firerate: 3.336039
Health: 185.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.213974, Firerate: 3.314997
Health: 185.000000, Speed: 0.200000, Firerate: 2.968575
Health: 185.000000, Speed: 0.200000, Firerate: 2.968575
Health: 185.000000, Speed: 0.200000, Firerate: 3.509805
Health: 186.000000, Speed: 0.200000, Firerate: 3.509805
Health: 186.000000, Speed: 0.204189, Firerate: 2.968575
Health: 188.000000, Speed: 0.200000, Firerate: 3.295578
Health: 186.000000, Speed: 0.200000, Firerate: 3.314997
Health: 185.000000, Speed: 0.200000, Firerate: 3.314997
Health: 185.000000, Speed: 0.200000, Firerate: 3.509805
Health: 186.000000, Speed: 0.213974, Firerate: 2.955330
Health: 184.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.200000, Firerate: 2.980965
Health: 185.000000, Speed: 0.200000, Firerate: 3.814740
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 186.000000, Speed: 0.200000, Firerate: 3.152082
Health: 184.000000, Speed: 0.200000, Firerate: 3.338005
Health: 185.000000, Speed: 0.200000, Firerate: 3.509805
Health: 186.000000, Speed: 0.200000, Firerate: 2.980965
Health: 186.000000, Speed: 0.200000, Firerate: 3.314997
Health: 187.000000, Speed: 0.200000, Firerate: 2.980965
Health: 186.000000, Speed: 0.200000, Firerate: 3.152082
Health: 186.000000, Speed: 0.200000, Firerate: 2.980965
Health: 186.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.338005
Health: 187.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 2.980965
Health: 185.000000, Speed: 0.200000, Firerate: 2.980965
Health: 187.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.200000, Firerate: 3.338005
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 186.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.231640, Firerate: 3.276223
Health: 184.000000, Speed: 0.200000, Firerate: 2.841828
Health: 184.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 186.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.200000, Firerate: 2.980965
Health: 186.000000, Speed: 0.200000, Firerate: 2.980965
Health: 186.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.231640, Firerate: 3.276223
Health: 184.000000, Speed: 0.200000, Firerate: 2.980965
Health: 186.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.231640, Firerate: 2.980965
Health: 186.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.200000, Firerate: 3.276223
Health: 187.000000, Speed: 0.200000, Firerate: 3.276223
Health: 190.000000, Speed: 0.200000, Firerate: 3.276223
Health: 186.000000, Speed: 0.200000, Firerate: 2.820380
Health: 184.000000, Speed: 0.200000, Firerate: 3.001324
Health: 188.000000, Speed: 0.200000, Firerate: 3.276223
Health: 184.000000, Speed: 0.200000, Firerate: 3.276223
Health: 186.000000, Speed: 0.200000, Firerate: 3.314997
Health: 186.000000, Speed: 0.200000, Firerate: 3.276223
Health: 186.000000, Speed: 0.200000, Firerate: 3.276223
Health: 186.000000, Speed: 0.200000, Firerate: 3.276223
Health: 186.000000, Speed: 0.200000, Firerate: 3.276223
Health: 184.000000, Speed: 0.200000, Firerate: 3.276223
Health: 186.000000, Speed: 0.200000, Firerate: 3.314997
Health: 185.000000, Speed: 0.200000, Firerate: 3.276223
Health: 186.000000, Speed: 0.200000, Firerate: 3.314997
Health: 186.000000, Speed: 0.200000, Firerate: 2.980965
Health: 193.000000, Speed: 0.200000, Firerate: 3.276223
Health: 184.000000, Speed: 0.200000, Firerate: 3.276223
Health: 186.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.200000, Firerate: 2.980965
Health: 184.000000, Speed: 0.200000, Firerate: 3.544392
Health: 184.000000, Speed: 0.200000, Firerate: 3.112476
Health: 189.000000, Speed: 0.200000, Firerate: 3.378594
Health: 186.000000, Speed: 0.200000, Firerate: 3.310617
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 195.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.276223
Health: 189.000000, Speed: 0.200000, Firerate: 3.276223
Health: 184.000000, Speed: 0.200000, Firerate: 3.095813
Health: 184.000000, Speed: 0.200000, Firerate: 3.095813
Health: 184.000000, Speed: 0.200000, Firerate: 3.308224
Health: 186.000000, Speed: 0.200000, Firerate: 3.190451
Health: 189.000000, Speed: 0.200000, Firerate: 3.314997
Health: 185.000000, Speed: 0.200000, Firerate: 3.520487
Health: 186.000000, Speed: 0.200000, Firerate: 3.123221
Health: 184.000000, Speed: 0.200000, Firerate: 3.308224
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 186.000000, Speed: 0.200000, Firerate: 3.308224
Health: 189.000000, Speed: 0.200000, Firerate: 2.910275
Health: 186.000000, Speed: 0.200000, Firerate: 3.308224
Health: 189.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 2.980965
Health: 189.000000, Speed: 0.200000, Firerate: 3.308224
Health: 184.000000, Speed: 0.200000, Firerate: 3.308224
Health: 186.000000, Speed: 0.200000, Firerate: 3.308224
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.308224
Health: 184.000000, Speed: 0.200000, Firerate: 3.308224
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.220104, Firerate: 3.505447
Health: 186.000000, Speed: 0.200000, Firerate: 3.308224
Health: 184.000000, Speed: 0.200000, Firerate: 2.822004
Health: 186.000000, Speed: 0.200000, Firerate: 3.006110
Health: 184.000000, Speed: 0.200000, Firerate: 2.822004
Health: 186.000000, Speed: 0.200000, Firerate: 3.509037
Health: 186.000000, Speed: 0.208629, Firerate: 3.308224
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.308224
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 189.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.221874, Firerate: 3.294424
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 3.173168
Health: 184.000000, Speed: 0.200000, Firerate: 3.173168
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 186.000000, Speed: 0.200000, Firerate: 3.314997
Health: 191.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 185.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.137406
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 186.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.178722
Health: 185.000000, Speed: 0.200000, Firerate: 3.308224
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 3.104208
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 185.000000, Speed: 0.200000, Firerate: 3.137406
Health: 185.000000, Speed: 0.200000, Firerate: 3.137406
Health: 184.000000, Speed: 0.200000, Firerate: 3.137406
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 196.000000, Speed: 0.200000, Firerate: 3.096859
Health: 184.000000, Speed: 0.200000, Firerate: 3.360222
Health: 190.000000, Speed: 0.200000, Firerate: 3.314997
Health: 187.000000, Speed: 0.200000, Firerate: 2.844819
Health: 185.000000, Speed: 0.200000, Firerate: 3.318329
Health: 185.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 3.360222
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.201701, Firerate: 2.775326
Health: 186.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.204570, Firerate: 3.164772
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 190.000000, Speed: 0.200000, Firerate: 3.360222
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 3.350609
Health: 184.000000, Speed: 0.200000, Firerate: 3.314997
Health: 190.000000, Speed: 0.200000, Firerate: 3.314997
Health: 186.000000, Speed: 0.200000, Firerate: 2.955522
Health: 186.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 186.000000, Speed: 0.200000, Firerate: 2.685260
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.226200, Firerate: 2.848109
Health: 184.000000, Speed: 0.200000, Firerate: 3.388977
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 186.000000, Speed: 0.200000, Firerate: 3.117817
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.318329
Health: 185.000000, Speed: 0.200000, Firerate: 2.847682
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 2.810019
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 185.000000, Speed: 0.200000, Firerate: 2.810019
Health: 185.000000, Speed: 0.200000, Firerate: 2.884939
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.242917, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.318329
Health: 184.000000, Speed: 0.242917, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.235363, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.690088
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 2.719995
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 186.000000, Speed: 0.200000, Firerate: 3.463448
Health: 185.000000, Speed: 0.236462, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.546080
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.235363, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 200.000000, Speed: 0.200000, Firerate: 3.116492
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.039927
Health: 188.000000, Speed: 0.200000, Firerate: 2.773211
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.201495
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.317902
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 2.974834
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 186.000000, Speed: 0.200000, Firerate: 3.322538
Health: 185.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 3.322538
Health: 184.000000, Speed: 0.200000, Firerate: 2.735847
