Health: 62.000000, Speed: 0.498032, Firerate: 1.410895
Health: 81.000000, Speed: 0.734197, Firerate: 1.211707
Health: 73.000000, Speed: 0.928635, Firerate: 3.431916
Health: 99.000000, Speed: 1.035023, Firerate: 2.521769
Health: 198.000000, Speed: 0.609468, Firerate: 1.282226
Health: 114.000000, Speed: 1.331976, Firerate: 3.730677
Health: 142.000000, Speed: 0.531062, Firerate: 1.594766
Health: 139.000000, Speed: 1.043661, Firerate: 2.904059
Health: 176.000000, Speed: 0.200000, Firerate: 1.438817
Health: 140.000000, Speed: 0.487584, Firerate: 3.406088
Health: 196.000000, Speed: 0.713804, Firerate: 2.879470
Health: 188.000000, Speed: 0.200000, Firerate: 1.602734
Health: 181.000000, Speed: 0.387788, Firerate: 1.873040
Health: 185.000000, Speed: 0.429324, Firerate: 2.714505
Health: 197.000000, Speed: 0.449161, Firerate: 2.328221
Health: 197.000000, Speed: 0.527464, Firerate: 3.828712
Health: 172.000000, Speed: 0.416247, Firerate: 3.064943
Health: 200.000000, Speed: 0.599503, Firerate: 2.010639
Health: 200.000000, Speed: 0.416948, Firerate: 3.106217
Health: 194.000000, Speed: 0.410555, Firerate: 2.857787
Health: 170.000000, Speed: 0.478272, Firerate: 3.667742
Health: 198.000000, Speed: 0.390336, Firerate: 2.909506
Health: 195.000000, Speed: 0.401788, Firerate: 3.647597
Health: 188.000000, Speed: 0.411821, Firerate: 2.971416
Health: 192.000000, Speed: 0.395845, Firerate: 2.955330
Health: 181.000000, Speed: 0.303923, Firerate: 3.430741
Health: 194.000000, Speed: 0.401292, Firerate: 3.259218
Health: 166.000000, Speed: 0.294874, Firerate: 2.896561
Health: 181.000000, Speed: 0.353027, Firerate: 2.804016
Health: 179.000000, Speed: 0.398271, Firerate: 3.580410
Health: 194.000000, Speed: 0.613205, Firerate: 3.233219
Health: 179.000000, Speed: 0.200000, Firerate: 2.071544
Health: 175.000000, Speed: 0.391298, Firerate: 3.654326
Health: 192.000000, Speed: 0.427248, Firerate: 2.138496
Health: 196.000000, Speed: 0.441653, Firerate: 1.771395
Health: 200.000000, Speed: 0.369904, Firerate: 3.649583
Health: 192.000000, Speed: 0.421511, Firerate: 2.886776
Health: 186.000000, Speed: 0.363709, Firerate: 2.782076
Health: 185.000000, Speed: 0.352399, Firerate: 4.000000
Health: 168.000000, Speed: 0.385972, Firerate: 3.338005
Health: 176.000000, Speed: 0.316184, Firerate: 3.674108
Health: 178.000000, Speed: 0.455231, Firerate: 2.502969
Health: 189.000000, Speed: 0.430560, Firerate: 3.285666
Health: 200.000000, Speed: 0.566268, Firerate: 2.895877
Health: 170.000000, Speed: 0.452011, Firerate: 3.601196
Health: 190.000000, Speed: 0.395448, Firerate: 4.000000
Health: 182.000000, Speed: 0.356049, Firerate: 3.943537
Health: 197.000000, Speed: 0.431918, Firerate: 2.955330
Health: 176.000000, Speed: 0.373215, Firerate: 3.883572
Health: 184.000000, Speed: 0.352814, Firerate: 3.264601
Health: 200.000000, Speed: 0.354492, Firerate: 4.000000
Health: 180.000000, Speed: 0.393159, Firerate: 3.314997
Health: 187.000000, Speed: 0.358841, Firerate: 2.001452
Health: 179.000000, Speed: 0.291777, Firerate: 3.043773
Health: 198.000000, Speed: 0.419604, Firerate: 3.189895
Health: 177.000000, Speed: 0.446323, Firerate: 3.338005
Health: 194.000000, Speed: 0.476528, Firerate: 3.913672
Health: 174.000000, Speed: 0.418223, Firerate: 2.955330
Health: 192.000000, Speed: 0.439441, Firerate: 4.000000
Health: 184.000000, Speed: 0.441867, Firerate: 2.980965
Health: 186.000000, Speed: 0.409365, Firerate: 3.231211
Health: 177.000000, Speed: 0.359322, Firerate: 2.750182
Health: 197.000000, Speed: 0.272398, Firerate: 3.013224
Health: 200.000000, Speed: 0.338195, Firerate: 3.338005
Health: 176.000000, Speed: 0.442828, Firerate: 2.402478
Health: 175.000000, Speed: 0.291334, Firerate: 3.639649
Health: 182.000000, Speed: 0.426226, Firerate: 3.584533
Health: 193.000000, Speed: 0.380235, Firerate: 3.379748
Health: 184.000000, Speed: 0.438403, Firerate: 3.466781
Health: 186.000000, Speed: 0.366562, Firerate: 3.069088
Health: 182.000000, Speed: 0.321563, Firerate: 2.150096
Health: 183.000000, Speed: 0.200000, Firerate: 1.775368
Health: 180.000000, Speed: 0.437274, Firerate: 3.015296
Health: 195.000000, Speed: 0.409296, Firerate: 3.618821
Health: 178.000000, Speed: 0.358597, Firerate: 4.000000
Health: 164.000000, Speed: 0.434687, Firerate: 2.072527
Health: 170.000000, Speed: 0.401781, Firerate: 3.314997
Health: 191.000000, Speed: 0.571746, Firerate: 3.117005
Health: 186.000000, Speed: 0.437510, Firerate: 3.276223
Health: 200.000000, Speed: 0.594498, Firerate: 3.131724
Health: 187.000000, Speed: 0.627610, Firerate: 3.282333
Health: 184.000000, Speed: 0.345413, Firerate: 2.598932
Health: 200.000000, Speed: 0.441836, Firerate: 3.645567
Health: 200.000000, Speed: 0.425402, Firerate: 3.092160
Health: 181.000000, Speed: 0.382722, Firerate: 3.275881
Health: 169.000000, Speed: 0.445117, Firerate: 2.980965
Health: 190.000000, Speed: 0.476757, Firerate: 2.820893
Health: 199.000000, Speed: 0.428248, Firerate: 3.627088
Health: 169.000000, Speed: 0.414248, Firerate: 3.462316
Health: 188.000000, Speed: 0.419161, Firerate: 3.276223
Health: 175.000000, Speed: 0.412188, Firerate: 2.980965
Health: 200.000000, Speed: 0.421938, Firerate: 2.902030
Health: 198.000000, Speed: 0.448062, Firerate: 3.276223
Health: 180.000000, Speed: 0.442698, Firerate: 3.176458
Health: 195.000000, Speed: 0.440760, Firerate: 4.000000
Health: 200.000000, Speed: 0.426600, Firerate: 2.007135
Health: 200.000000, Speed: 0.557616, Firerate: 3.005575
Health: 174.000000, Speed: 0.370530, Firerate: 3.142491
Health: 170.000000, Speed: 0.200000, Firerate: 3.859047
Health: 181.000000, Speed: 0.617745, Firerate: 2.877206
Health: 199.000000, Speed: 0.370164, Firerate: 3.314997
Health: 168.000000, Speed: 0.371064, Firerate: 4.000000
Health: 184.000000, Speed: 0.422671, Firerate: 3.247148
Health: 195.000000, Speed: 0.337127, Firerate: 3.768383
Health: 190.000000, Speed: 0.368424, Firerate: 3.666866
Health: 186.000000, Speed: 0.348389, Firerate: 3.640953
Health: 172.000000, Speed: 0.399797, Firerate: 3.035035
Health: 180.000000, Speed: 0.586731, Firerate: 4.000000
Health: 190.000000, Speed: 0.398195, Firerate: 3.329951
Health: 186.000000, Speed: 0.448276, Firerate: 3.852104
Health: 181.000000, Speed: 0.444964, Firerate: 3.799081
Health: 200.000000, Speed: 0.426867, Firerate: 3.221833
Health: 190.000000, Speed: 0.405382, Firerate: 2.752553
Health: 180.000000, Speed: 0.334243, Firerate: 3.112476
Health: 184.000000, Speed: 0.440417, Firerate: 3.398846
Health: 197.000000, Speed: 0.453906, Firerate: 3.502713
Health: 200.000000, Speed: 0.445529, Firerate: 3.445140
Health: 190.000000, Speed: 0.435153, Firerate: 3.520487
Health: 170.000000, Speed: 0.474300, Firerate: 3.517518
Health: 160.000000, Speed: 0.582428, Firerate: 3.610553
Health: 196.000000, Speed: 0.396272, Firerate: 2.417304
Health: 184.000000, Speed: 0.404482, Firerate: 2.921854
Health: 192.000000, Speed: 0.337875, Firerate: 4.000000
Health: 200.000000, Speed: 0.381272, Firerate: 3.823648
Health: 192.000000, Speed: 0.372910, Firerate: 3.923948
Health: 178.000000, Speed: 0.344757, Firerate: 2.558043
Health: 178.000000, Speed: 0.248700, Firerate: 3.884618
Health: 174.000000, Speed: 0.446338, Firerate: 3.016834
Health: 191.000000, Speed: 0.337860, Firerate: 3.273125
Health: 170.000000, Speed: 0.323882, Firerate: 3.413736
Health: 192.000000, Speed: 0.319572, Firerate: 2.846827
Health: 187.000000, Speed: 0.347610, Firerate: 3.314997
Health: 191.000000, Speed: 0.332519, Firerate: 3.959368
Health: 186.000000, Speed: 0.447452, Firerate: 2.739051
Health: 163.000000, Speed: 0.415720, Firerate: 3.264943
Health: 164.000000, Speed: 0.357712, Firerate: 3.316214
Health: 180.000000, Speed: 0.346176, Firerate: 2.637001
Health: 200.000000, Speed: 0.361740, Firerate: 3.893441
Health: 184.000000, Speed: 0.419848, Firerate: 3.216556
Health: 175.000000, Speed: 0.359040, Firerate: 3.971117
Health: 186.000000, Speed: 0.442141, Firerate: 3.314997
Health: 165.000000, Speed: 0.381318, Firerate: 3.027174
Health: 186.000000, Speed: 0.445849, Firerate: 3.748216
Health: 172.000000, Speed: 0.413683, Firerate: 3.460307
Health: 186.000000, Speed: 0.390230, Firerate: 3.314997
Health: 177.000000, Speed: 0.413744, Firerate: 3.314997
Health: 193.000000, Speed: 0.430277, Firerate: 3.434928
Health: 200.000000, Speed: 0.376855, Firerate: 3.129759
Health: 195.000000, Speed: 0.573669, Firerate: 2.952361
Health: 172.000000, Speed: 0.387330, Firerate: 4.000000
Health: 184.000000, Speed: 0.369080, Firerate: 3.668361
Health: 197.000000, Speed: 0.320891, Firerate: 3.644008
Health: 199.000000, Speed: 0.347427, Firerate: 3.314997
Health: 184.000000, Speed: 0.435977, Firerate: 3.314997
Health: 185.000000, Speed: 0.476269, Firerate: 3.279769
Health: 200.000000, Speed: 0.363495, Firerate: 3.549648
Health: 177.000000, Speed: 0.353851, Firerate: 2.719098
Health: 200.000000, Speed: 0.387895, Firerate: 3.763854
Health: 184.000000, Speed: 0.409563, Firerate: 3.896646
Health: 181.000000, Speed: 0.638917, Firerate: 2.929267
Health: 188.000000, Speed: 0.450023, Firerate: 3.343837
Health: 182.000000, Speed: 0.427706, Firerate: 3.318329
Health: 186.000000, Speed: 0.476696, Firerate: 3.186990
Health: 181.000000, Speed: 0.300169, Firerate: 3.699252
Health: 195.000000, Speed: 0.389879, Firerate: 3.897415
Health: 170.000000, Speed: 0.301054, Firerate: 3.318329
Health: 200.000000, Speed: 0.429736, Firerate: 3.524589
Health: 175.000000, Speed: 0.270368, Firerate: 3.137406
Health: 200.000000, Speed: 0.414560, Firerate: 3.464238
Health: 200.000000, Speed: 0.439792, Firerate: 3.943516
Health: 179.000000, Speed: 0.313079, Firerate: 1.933219
Health: 180.000000, Speed: 0.313430, Firerate: 3.960564
Health: 187.000000, Speed: 0.390428, Firerate: 3.855287
Health: 180.000000, Speed: 0.408174, Firerate: 3.413416
Health: 169.000000, Speed: 0.413805, Firerate: 3.423222
Health: 196.000000, Speed: 0.441379, Firerate: 3.318329
Health: 183.000000, Speed: 0.531339, Firerate: 2.983871
Health: 188.000000, Speed: 0.445445, Firerate: 4.000000
Health: 186.000000, Speed: 0.447330, Firerate: 3.217154
Health: 195.000000, Speed: 0.366379, Firerate: 3.594296
